period,topic_id,keywords,count_lowi,count_uvnl,n_lowi,n_uvnl,freq_lowi,freq_uvnl,G,p,log2_odds_ratio,preferred,p_bonferroni,significant
2025+,10,"verzoeker, persbericht, betrokkene, polemiek, verzoekers",1,0,17,12,0.058823529411764705,0.0,0.0,1.0,1.1844245711374275,lowi,1.0,False
2025+,11,"the, boek, plagiaat, 2014, passages",0,0,17,12,0.0,0.0,0.0,1.0,-0.4854268271702417,uvnl,1.0,False
2025+,12,"the, beklaagden, toetsingscommissie, that, organisatie",0,0,17,12,0.0,0.0,0.0,1.0,-0.4854268271702417,uvnl,1.0,False
2025+,13,"beklaagden, 2018, databases, bijlage, radboud",0,0,17,12,0.0,0.0,0.0,1.0,-0.4854268271702417,uvnl,1.0,False
2025+,14,"betrokkene, verzoeker, verzoekers, redactie, universiteit leiden",1,0,17,12,0.058823529411764705,0.0,0.0,1.0,1.1844245711374275,lowi,1.0,False
2025+,15,"onderzoeker, leerstoelhouder, opdrachtgever, verzoeker, betrokkene",1,0,17,12,0.058823529411764705,0.0,0.0,1.0,1.1844245711374275,lowi,1.0,False
2025+,16,"the, beklaagden, and, to, the committee",0,0,17,12,0.0,0.0,0.0,1.0,-0.4854268271702417,uvnl,1.0,False
2025+,17,"klaagster, 2013, klagers, auteurs, 2012",0,0,17,12,0.0,0.0,0.0,1.0,-0.4854268271702417,uvnl,1.0,False
2025+,18,"universiteit leiden, begrip, regeling, college, open brief",0,0,17,12,0.0,0.0,0.0,1.0,-0.4854268271702417,uvnl,1.0,False
2025+,19,"belanghebbende, verzoeker, belanghebbenden, klachtonderdeel, paper",0,0,17,12,0.0,0.0,0.0,1.0,-0.4854268271702417,uvnl,1.0,False
2025+,20,"verzoeker, 2016, 2017, taal, december 2016",0,0,17,12,0.0,0.0,0.0,1.0,-0.4854268271702417,uvnl,1.0,False
2025+,21,"verzoeker, erasmus, mc, erasmus mc, betrokkene",1,0,17,12,0.058823529411764705,0.0,0.0,1.0,1.1844245711374275,lowi,1.0,False
2025+,22,"verzoeker, deskundige, 2014, proefschrift, werk klager",0,0,17,12,0.0,0.0,0.0,1.0,-0.4854268271702417,uvnl,1.0,False
2025+,23,"2013, college, college bestuur, manuscript, dr",0,0,17,12,0.0,0.0,0.0,1.0,-0.4854268271702417,uvnl,1.0,False
2025+,24,"college, betrokkene, college bestuur, tilburg, tilburg university",0,0,17,12,0.0,0.0,0.0,1.0,-0.4854268271702417,uvnl,1.0,False
2025+,25,"verzoeker, rivm, buitenlandse, betrokkene, factsheet",0,0,17,12,0.0,0.0,0.0,1.0,-0.4854268271702417,uvnl,1.0,False
2025+,26,"the, to, and, his, on",0,0,17,12,0.0,0.0,0.0,1.0,-0.4854268271702417,uvnl,1.0,False
2025+,27,"knaw, verzoeker, betrokkene, druk, bestuur knaw",1,0,17,12,0.058823529411764705,0.0,0.0,1.0,1.1844245711374275,lowi,1.0,False
